,passenger_count,trip_distance,PULocationID,DOLocationID,fare_amount,extra,tip_amount,tolls_amount,congestion_surcharge,airport_fee,PUZone,DOZone,PULat,PULong,DOLat,DOLong,duration,speed_minutes,hour_pickup,minute_pickup,day_pickup,peak_hour
783227,2.0,2.8336,100,137,11.0,0.5,5.0,0.0,2.5,0.0,Murray Hill,East Village,40.7479,-73.9757,40.7265,-73.9815,14.416666666666666,0.19655028901734106,23,34,7,0
71917,1.0,4.395300000000001,237,246,12.0,0.0,0.0,0.0,2.5,0.0,Upper West Side North,East Harlem South,40.91394506,-73.84871493,40.795,-73.939,14.05,0.31283274021352314,18,12,1,0
1273901,1.0,3.7674,239,163,11.5,0.0,2.5,0.0,2.5,0.0,Union Sq,Midtown Center,40.7359,-73.9911,40.7588,-73.97291,15.833333333333334,0.23794105263157894,13,45,12,0
1147987,1.0,1.3846,239,238,5.0,0.0,1.24,0.0,2.5,0.0,Times Sq/Theatre District,Lincoln Square East,40.75888,-73.98482,40.7742,-73.9849,3.6333333333333333,0.3810825688073395,13,27,11,0
3422087,1.0,2.0447,238,236,6.5,1.0,2.7,0.0,2.5,0.0,Central Harlem,Bedford,40.8089,-73.9482,40.6872,-73.9418,5.95,0.3436470588235294,17,25,31,0
2235857,1.0,34.3252,132,87,52.0,0.0,10.0,6.55,2.5,1.25,JFK Airport,Lenox Hill West,40.63983,-73.77874,40.7708,-73.9567,83.65,0.41034309623430965,14,5,20,0
2468996,2.0,27.3539,132,170,52.0,0.0,12.37,6.55,2.5,1.25,Yorkville East,Boerum Hill,40.76955898,-73.9413803,40.68372,-73.98179,54.083333333333336,0.5057731895223421,14,13,22,0
44629,2.0,28.0301,230,1,66.5,0.0,17.31,19.75,0.0,0.0,West Chelsea/Hudson Yards,East Harlem North,40.75341588,-74.00002199,40.795,-73.939,35.95,0.7796968011126564,14,31,1,0
3420522,1.0,4.008900000000001,263,142,12.0,1.0,3.26,0.0,2.5,0.0,Central Harlem,Bedford,40.8089,-73.9482,40.6872,-73.9418,14.6,0.27458219178082194,17,27,31,0
219783,1.0,2.5599000000000003,161,107,9.0,0.0,3.69,0.0,2.5,0.0,Midtown North,East Chelsea,40.754932,-73.984016,40.742352,-74.00621,10.966666666666667,0.23342553191489365,12,57,3,0
862206,1.0,1.1592,236,141,6.0,0.0,0.0,0.0,2.5,0.0,Upper East Side North,Yorkville West,40.7641,-73.956,40.7712,-73.9495,6.716666666666667,0.17258560794044664,18,39,8,0
2879617,1.0,17.114300000000004,164,138,32.5,0.0,8.47,6.55,2.5,0.0,Garment District,World Trade Center,40.7544,-73.99185,40.7118,-74.0131,27.35,0.6257513711151738,9,58,26,0
1483106,1.0,1.6583,233,141,5.5,0.5,0.0,0.0,2.5,0.0,Upper East Side South,Upper East Side North,40.7736,-73.9566,40.7641,-73.956,4.033333333333333,0.41114876033057857,0,41,14,0
534312,4.0,5.152000000000001,48,79,14.0,3.0,0.0,0.0,2.5,0.0,East Chelsea,Midtown North,40.742352,-74.00621,40.754932,-73.984016,18.216666666666665,0.28281793229643193,21,42,5,0
1611648,1.0,2.9141000000000004,148,234,10.5,0.5,0.0,0.0,2.5,0.0,Clinton West,TriBeCa/Civic Center,40.7629,-73.994,40.71626,-74.01257993,13.55,0.2150627306273063,2,8,15,0
150791,1.0,2.5116,230,143,8.0,1.0,1.23,0.0,2.5,0.0,Midtown North,Midtown South,40.754932,-73.984016,40.754932,-73.984016,9.1,0.276,16,26,2,0
769436,3.0,1.449,246,164,7.0,3.0,2.15,0.0,2.5,0.0,Murray Hill,East Village,40.7479,-73.9757,40.7265,-73.9815,8.15,0.1777914110429448,21,9,7,0
278917,1.0,7.357700000000001,264,264,22.0,1.0,5.26,0.0,2.5,0.0,East Village,Financial District North,40.7265,-73.9815,40.708,-74.011,33.25,0.22128421052631583,19,25,3,0
1079431,1.0,4.025,263,161,11.0,3.5,3.05,0.0,2.5,0.0,Lincoln Square East,Penn Station/Madison Sq West,40.7742,-73.9849,40.7498,-73.9917,12.883333333333333,0.3124191461836999,19,42,10,0
3328094,1.0,0.805,236,236,4.0,1.0,2.49,0.0,2.5,0.0,TriBeCa/Civic Center,Times Sq/Theatre District,40.71626,-74.01257993,40.75888,-73.98482,2.05,0.39268292682926836,19,12,30,0
673625,2.0,4.025,79,13,11.0,3.0,4.4,0.0,2.5,0.0,Clinton East,Union Sq,40.7638,-73.9918,40.7359,-73.9911,12.6,0.3194444444444445,0,28,7,0
3317068,2.0,2.737,229,107,7.0,2.5,0.0,0.0,2.5,0.0,TriBeCa/Civic Center,Times Sq/Theatre District,40.71626,-74.01257993,40.75888,-73.98482,6.783333333333333,0.4034889434889435,17,9,30,0
2636271,2.0,2.0930000000000004,234,246,7.0,2.5,1.0,0.0,2.5,0.0,Upper West Side South,Midtown East,40.787,-73.9754,40.7509,-73.96442,8.3,0.2521686746987952,8,30,24,0
1162996,1.0,2.0930000000000004,239,238,8.5,2.5,2.35,0.0,2.5,0.0,Times Sq/Theatre District,Lincoln Square East,40.75888,-73.98482,40.7742,-73.9849,10.85,0.19290322580645167,15,32,11,0
2877743,1.0,3.5098000000000003,186,163,14.0,0.0,0.0,0.0,2.5,0.0,Garment District,Central Harlem North,40.7544,-73.99185,40.7987,-73.9523,21.983333333333334,0.15965731614859743,8,57,26,0
2485882,1.0,4.1377,164,237,11.5,0.0,2.96,0.0,2.5,0.0,Lower East Side,Bloomingdale,40.715,-73.9843,40.7989,-73.9698,14.316666666666666,0.2890128055878929,17,47,22,0
1106037,1.0,2.8014,186,50,7.5,0.5,2.26,0.0,2.5,0.0,Times Sq/Theatre District,Penn Station/Madison Sq West,40.75888,-73.98482,40.7498,-73.9917,6.65,0.42126315789473684,0,40,11,0
70694,1.0,14.989100000000002,138,238,28.5,0.0,10.0,6.55,2.5,1.25,Upper West Side North,East Harlem South,40.91394506,-73.84871493,40.795,-73.939,23.35,0.6419314775160601,18,39,1,0
